Artist,Song,Lyrics,Class
Mr.B The Gentleman Rhymer,Hail the Chap,approach millennial malaise blight need perennial braze age plunderer dandy give way prig bore boredom modus operandi say stop rot shall society flounder squalid desperation want save savvy publication wonder good dress wrestling tie cravat good thing way doff hat suspect decant knowledge sweet sherry chap glad stay standard evolution come join dandy revolution pipe tap park rattle trap raise hat cap hail chap hail chap know rule break true word speak code hey presto hear rule chap manifesto shalt wear tweed fabric shall need shalt smoke pipe booze age courteous lady air dash hade wear pantaloon come young scamp time switch team shalt doff hat simply like stop chat fasten low button look rule good kit shalt speak properly monopoly wear plimsoll sport chap hop superstar sort worship trouser press know well cultivate interesting facial hair  charm design living world unforgiving sloth banality standard brew up standard ,Funny
Project Pat,This Ain’t No Game,mound be buyin bullshit clown shit kill bitch thinkin bulletproof end ditch thinking get time catch slippin time pop pop pop drop body bullet hole hollow paint shell layin mane know suppose nigga try estimate triple shoot fiend shoot shit soft ass niggas pistol play pull pistol motherfucker gon lie niggas problem step bitch solve foolish ass niggas like ride tip like hide seek creep well believe revenge kill niggas neighborhood mane know deal real 'cause look ass dead eye tec face bitch be game nigga fuck be game nigga be game be game nigga fuck quick freak like maniac cock handle real cap peel grab nigga crack dome blood drippin handle tome cause mane naughty nigga got pull trigger watch blood skeet like juice 'cause bitch be bulletproof  murder hobby mane insane be game nigga fuck figure try punkin feel blast trigger straight honeycomb smoke sack get rep cock body stack saw eager gangsta  come try yo luck think ya nut big nigga pat game nigga motherfucker point blank range sick motherfucker thinkin run shit run gun upside fuckin head be be gangsta feel dick punk punk punk ass nigga fuck you shoot ass pump attackin point blank,Funny
Silvana Imam,Helt Fucked, fuck     ah   aldrig       till inget problem mitt land   skit  vill man fuck ah  regna       ringer talar mess fuck till vip en   fuck till bordet fuck fucking  min  cognac   man vädret,Funny
La Fouine,Il se passe quelque chose,en en soit grosse paire de couilles la flair pourquoi  bonsoir faire pour voir  contrôle au dessus d'eux la violence ce font street est le la si la chance tourne le c'est pour prenne en en quitte à finir au la concurrence rare le bracelet million pastore sale arrive choose choose biz choose choose choose quand arrive choose sale choose choose choose il tous il se sont tous tous vous avec le pourrait tous les calmer pourrait tous tous caner vient de les les  peux pull et l'image rebelle bleed appelle moi potter pris la en doggy strass dead rock il comme si je black rob les classique et les hit en bientôt le en l'air choose choose babe hey ou  se choose,Funny
Therion,The Second Part Of ‘Der Tag Ist Da’ From Rienzi,   heftig  nicht bist du  mich   hast mit mit lass dich diese   mein die die    lass siege schöne und m blick der eine    ach  mit nur  himmel ende zu die   bring hilfe mir dieser mit  m    sich man hört die der  hinter dem der ihm die ,Funny
Radio Hamburg,Radio Hamburg TOP 825,big jet plane swing way feature land like shout style council day passion people empire sun song lucky father son mad world feat  right direction gossip tag die monsta ooh la la lightning  soulmate der hill respect  everytime touch want way backstreet boy berzerk eminem wanna dance somebody love  slow odd look  little conversation vs. heart  boombastic shaggy queen  lotto lose sleep l'amour toujours rock morgen world disco boy   de eck big ball care,Funny
Almoni,Daf (DaBaby Parody),everybody wait oy drop oy drop mean everybody hit try rap mean man know say chorus need daf walk sprite cup drunk think sprite schnapps learn mincha bimah learn mendy hot minute verse ask picture shidduch get time deal date busy deal state cousin real estate talk bupki prolly will hear open mouth try find soon learn  heat beat like knish be talk bout actual weight hey whatsapp blue check jewish rappin good new look like verse orthodox be monkey uncle yo sit be pray fast head talk loudly cause sing nigun learn biggie  daf silly go home bout joke tell hit try finish shawarma coke shtick make rap make sure keep jewish rapper corny will stupid joke  interlude feel like actually hit know say jewish radio station mean lot shtick mean real,Funny
James Joyce,Veillée Pinouilles- Chapitre 3,de visibilité dans de cas de chat et de vieille soit sur en volume en barrage pourtant tous ceux qui entendu ou maintenant avec cette famille de et lui même et la autant plus avaient il en quelque futur ici présentement parmi maggie ste les le du passé avec ses nous de cette saga qui fausse et et ceci à son osti musical de petite voie et doué oreille avec voix à seul de aussi les nous tenon tous ensemble san sens unique  après vieux par les chose dans talon au il accepté le shill de rí à conclusion de la guerre de fait son dans les à partout de blancs et le supposé de après quoi le et les de la cour de la pompe le des vieux cherche de se plus toujour transpire côté de sur le champ du de avec son à disant à vieux chap donne mère pauvre pour satisfaire à la suggestion lancée à la volée par le en de selon le service dans peut avoir joué les la troupe capable de prendre en charge de long rôle au dernier moment le hame le sur de le san peine après les de la de dans de nature derrière dans delà coup de pie sur et et et de ses de de le goût de trop de ceux qui sont de en de à en est venu à maintenant mêmes de de toutes lesquelles dans présentes en cours de recours par la de dans  où les les puissent il et mais à de fer de de pourrait nous avoir nous sommes presque par moutarde dans la queue en à sa femme à elle et la plus la plus short de qui en quoi pris tous les à de depuis sure face de cette lui même de façon si entièrement la mère du livre avec à poussière avait faite sur à elle au point de le à tout le monde sinon avoir le qui de le à son plus si le père à plus est le à la storie était le directeur au qui de se de le catholique heureusement si et de sur son tout comme de si son le elle aurait le et était de de mauvaises avec table chaud au snob là pleinement plus de plusieurs rencontré par à étaient elle cest de se hotel avec faire car plus à revoir en plus la forme  du humain moyen là où le passé de long pas original par là étant donné la visibilité et dans cette de la de mot glaive de le pour en scratch taille au foulard pantalon baggy et fait souvent allusion à ruse le fils qui se avec déjà en direction de la de zone se avec sort du tout les sorte à qui des en le demandait de leur dire la vol cette histoire à light et les de le temps de pimp ce party ride et nous le grand fait pousser est du seigneur pour remise de en le et la toute au lieu de du la si ou son brogue ses yeux de x not du moyen les la not qui le avaient fait plus pat est de et de là pause à carillon régulier pour quelques environ de minute tape le gagné le pour gagner parmi seule pomme quand elle était à sa de elle à seuls les tarte plainte de magasin pour son  temp week end de se les de ne restait de manière celle pour lesquelles lili le avait peu de auparavant contenu la famille de mais toutes les bouteille de en stout de tout sa ses avec encore ou de pour de son monde à la se mit sur ses pieds loin de dans le calme lieu commun connu depuis comme sa simple intensive mes alors tel le qui se fait grain le de de dote la à maintenant tour les fasse voir et que les feux de balle de le plus piste si seulement cette tout de quand meet le elle doit nous chance de se à ce ou qui de haut à son surtout le toit d'etat pour de avec les le à la main qui à heure mauvaise pour lui avait la puisse qui de qui déjà sur le dans le pay mot probable de sa famille de terrain peu poisson de la d'un sourire voyant si bout de ses en chef du avec aptitude pour no second parent la de cette peut  fin ou quelque parait sur de à san suggestion dans les au et là dans d'un à la déplace à à de sage de cette parmi les la les le couple sur le peut avoir l'air comme de de tes et en nous son se toile de à pin moonlite en l'heure de avec sur leurs de ferme le doux des de la de leur minuit les heures et le en peau de imitation de son et coin à de le contraire pour à bon de et passer toute heure à des hommes de en grand vieux se meet avec sire à l'hôtel de la pine sur la rue à son les aide et au creux de pour et plus le fils de ton de fils propre de sue et jure les quand elle étaient ché ché le les  de les le voyez avaient trouvé en heures à mais tiens langues quelque de encore les à la de les femmes de de de bronze à minny left uste en son li si batiste dans go de de pro piccolo fee mercy et toi avec larmes de de la d'un nique ton est le pour le ami à témoin des par couvre chef de qu'ils dans les haut britannique à l'auberge à ohoh fabrication avant le été le et casse bouteille à en avant touché légèrement son et le en avec de se la de chacune des de ses à lèvres plus bouche de de faire de pareille manière tous  pour puisse ajouter lobe devant chez le la maison est tombée en fait la les de à lui même une fois son en fait le tue très tôt si non déjà après est ou et sur le pain la ré de phrase du monde pourrait au de de tous ou de matrice femme poule et croisé car plus dans le siècle l'un de cette bande de de fait hor de selon le style moderne et dicky et à en fit la répétition avec de dignité à l'adresse d'un cousin de du puisse la mère lui garder le mastic avec encore plus qui si jamais à ramener les le disque des et avec de ronde dos à dos à dans leur l'air aperçu avec le poursuivre le le le le vert le le le de tour de l'arbre de aux feuilles de répétition not les racines les de verre car de son champ pour les particuliers avant qu'ils leur au la tour et en parlait sur requête tous dans cette nouvelle du où à cause de le du par de grand vieux  du de ce copain de sur les simplement dans le cœur le plus de leur pro tem avaient de écoutant le chant tire mais toujour plus le de le de serait du muezzin lieux et soit soient les pouvoir de son de de tueur se de trop grandi devait au pour pour être pour être son stint en trait de le fantôme de se sur le sort de ses eaux pourrait semblable en origine et akkurat en soleil sur d'un n'est autre vieille aux de la de ses de lend aux semi de de la coupe de de le de la de la appris là à thé femme au haut de la commence à non sens de vent qui souffle moment à travers slow mais en pragma quelle cause fit sourire de ça penser il à qui est qui sont les le file le de joueurs de une ville de pay de suce ou une clé de  plus les à mais nous et pouvons mesurer leur compas le le les pour le prix de deux avec lie sur l'espoir car mais son il de leurs les tous les l'oreille à leur nous aide et et quoi hi le ses nous nous la d'un peuple ce la troupe de qui là les les nous sont les par le du sondage trop là où ses sont à des trios grotesque mais ses néanmoin la largement plus entrée sortie est maintenant complètement vous nous avec vos de grâce pause avant cette expose de lui par le tout en habit à le de près certes suivant avait livre de la nature et atta de avait pris son poids à la barre rota de tribunaux et de sur la de le marle comme si les de valeur des taupe ici pendant à la sentence de la de là  au et son fait homme il à avoir le bénéfice du créé il font le de ses grand roue le était pour lui nous somme tous se fête d'un chez lui la il se à ses lui qu'ils lui ont la chair de chèvre son son avec repos les de est tombée mais celle de à et les le total de tes à pour le woh chine chine chine chine et avec se plus fort oho oho gars à faire dans les encore les par humain et qui est le ombre de derrière les de ceux là que tous les tap et du coup les pour soldier libre et leur en eh la opinion à laquelle de chaque d'un de tête tous camp en eh première femme fatal lili en lui dans con vieille rage le terse ainsi jouent les avec les elle notable paquet poubelle salon de encore plus de dans  et et noir parmi les à son et les leur noir en état de à son verre tout en son de savon thimbles à en veulent dire elle la taille d'un citron avec formant le de car le onde de de son qui godine pour les vers de et les toutes les de ça été avec regard aux de à son son question été posée par de de qui pendant sa collation de midi de foie et de avec du et de soit nous avon en lui ont de l'oreille parmi tous les sag avec le plus sinon habituellement sobre qui en son en tandis parlait aux n'est qu'un simple de rise mais les gars les parlementaire chez le brillant de avoir une le lui même assit de plus de ans des mais une de le la après tout entend cette de bar sur les voies de chemin de fer  rue ainsi aux de de de la mort ce à la son syphon toujours trop tard de se son honte de sous lui été proposé par le sujet avec en connection même soit si même est de toi la réplique du le tandis que les soeurs à qui les gosse et en disant de plus enfer pour la de l'homme des le de la hogue assistant où lui à fois à point le serait longtemps ses trucs à le avec sous ses feuilles de ses avoir dans tout la en ce qui avec le parc là est de livres la de antipodal à son effort au mort demain tention à la nous nous sommes trop en avec le du curé trop de et avec de à et de à flatter se parti et se et se vues l'un de et se leur digne qui leur  silence la mais maintenant la quand lui fourni des information sur les facette cozy et donnant sur les cours de les se en repos dans ses de tu la en se à payer en du san nulle incidence du dans revenir chez lui mais finit avec sac qui moult pue assis sur l'un des granit nouvelle à poisson pour après l'acte toujours populaire avec et et celle ci avait au tandis que celle là à cite sait était de ses co à te prendre le et le seller elle ainsi de à son pose de doigt pour tes deux de en velours sur la le ou tout autre pense aussi par le siège de ses avait quelqu'un d'autre derrière ça parie à propose de leurs en de des sont ce d'un type maintenant de serve ce lettres à des outrage si il sont à étaient et en partie à à d'un si loyal fût vrai de ceux ci enregistré nous nous en et somme à donnés qui à la vérité qu'avec et nous de nous de leurs plumes à la  vers où nous au delà rave de les index avec sous de la la vague sur le vieux pour oublier en en de mot de à si cherche profond de ton oreille sur le pour son lot avec à pay pay pay le dans lequel par avec ses long de celui qui tonne de là haut contre lui avec qui en eux fût et habitant le suivant pour eux le corruptible tous les saint de nation le commun du peuple ou au de en pour puisse le de leurs propre business à parler la de à tout le monde et dans la occasion sait plus chance de malgré tout ou son sujets de la première pay nous nous le nous réel au chapitre de dans le après le le homme avec la d'un paquet suspect en tard parmi densité particulière sur le chemin de lui la maison des le de se avec de devant son avec les mots major contre sur lequel plus le de ou même du mais de petite  lui à la sauce vice versa la avec elle pouvait de ou à défaut de la de à plus demanda avec avec de de pour seulement pour voir capable mais comme ses pieds du du tout telle telle course supposé en connection avec sous le pont car est son ou exploser et de la que dur gilet avec une bouteille à fait en possession saisie la par la garde de la ville à la porte de de était là en porte ment au ton lors de audition trop fine à boire à au parrot en enfer à au à de lap de ramit dedans le moment où d'un noir que engin lus à en haut pier qu'avec vache tout intention plus pure pseudo comment selon sa propre de et son plus club plus le sauvage pour les sur le qui en dans avec avec  de en par sur le de en light come de pay de lune en à l'échelle de paddy coup sur le du cochon aveugle et choose toute condescend la porte et ses dans le plus comme d'une bouteille de qui sommeil profond plus de de ou le de si quelque choose ce tour de très la vieille dans sur toutes les en sorte le de il la les moment de mousquetaire pour les et pour et de la pique en ver plus loin la le monde le monde vos de rise si voulez avoir la crème du réel la,Funny
James Joyce,Ulysses (Chap. 11 - Sirens),chip pick chip rocky thumbnail chip horrid gold flush husky blow blow blue bloom hair jumping rise satiny breast satin rise castile trilling trilling peep cry bronze pity pure long throbbing decoy soft word look bright star fade note answer rise castile morn break jingle jingle clock clack avowal rebound garter leave smack thigh smack avowal warm sweetheart jingle boomed crash chord love absorb war war sail veil wave lose flute lose  see alas tup throb warble ah lure alluring come clapclap  deaf bald pat bring pad knife take moonlit far far feel sad p. lonely blooming listen spiked wind cold silent roar pearl rhapsody  believe cock carra black wait wait hee hee wait hee wait low dark middle earth embed preacher go fall tiny tremulous amen gnash fury fro fro baton cool protruding  bronze gold shadow old bloom rap tap carra cock pray pray good people gouty finger big rise castile summer leave bloom feel sad,Funny
Harper Lee,To Kill a Mockingbird - Chapter 1,year go enable look discuss event lead accident maintain start year senior say start long say begin summer dill come dill give idea make boo come say want broad view thing begin run creek paddle alabama far old settle argument fist fight consult say right southerner source shame member family record ancestor battle fur trap apothecary piety exceed stinginess irritate persecution call methodist hand liberal brother call methodist work way mindful stricture use word buy selling pile practice medicine pursuit unhappy lest tempt know glory putting gold costly apparel having forget teacher dictum possession human chattel buy slave aid establish homestead bank mile return find wife establish line run high daughter live impressive age die rich customary man family remain homestead landing living cotton place self sufficient modest comparison empire landing produce require sustain life ice wheat flour article clothing supply river boat mobile regard impotent fury disturbance north south leave descendant strip land tradition live land remain unbroken century father go read law young brother go study medicine sister finch remain landing marry taciturn man spend time lie hammock river wonder trot line father admit bar return begin practice mile east finch landing county seat county office courthouse contain little hat rack spittoon checkerboard unsullied code client person hang county jail urge accept state generosity allow plead guilty degree murder escape life county synonymous jackass dispatch lead blacksmith misunderstanding arise allege wrongful detention mare imprudent presence witness insist son bitch come good defense anybody persist plead guilty degree murder client present departure occasion probably beginning father profound distaste practice criminal law year practice economy year invest earning brother education year young father choose study medicine time cotton worth grow get start derive reasonable income law like county bear breed know people know industry relate blood marriage nearly family town old town tired old town know rainy weather street turn red slop grass grow sidewalk courthouse sag square hot black dog suffer summer day bony mule hitch hoover cart flick fly sweltering shade live oak square man stiff collar wilt morning lady bathe noon o'clock nap nightfall like soft teacake frosting sweat sweet talcum people move slowly amble square shuffle store take time day hour long long hurry buy money buy outside boundary county time vague optimism people county recently tell fear fear live main residential street plus cook find father satisfactory play read treat courteous detachment angle bone nearsighted squint hand wide bed slat twice hard order kitchen ask behave know old call home ready come battle epic side win mainly take bear feel tyrannical presence long remember mother die feel absence graham meet elect state legislature middle aged year junior product year marriage year later bear year later mother die sudden heart attack say run family miss think remember clearly middle game sigh length play car house like know well bother nearly summertime boundary call distance house door north place door south tempt break place inhabit unknown entity mere description behave day end plain hell summer dill come early morning begin day play yard hear door go wire fence rat terrier instead find sit look sit high collard stare speak hey hey say pleasantly say read say think like know read get need readin old ask half  shoot wonder say jerk thumb scout readin bear be start school look right puny little old say brush hair well look come say say scowl big fit say bet foot long folk dill say dill struggle fence well instead say come dill spend summer aunt spend summer family county originally mother work photographer meridian enter picture beautiful child contest win dollar give money dill go picture time picture show one courthouse say good dill see revelation move eye beginning respect tell say dill curiosity wear blue linen short button shirt hair snow white stick head like year senior tower tell old tale blue eye lighten darken laugh sudden happy habitually pull cowlick center forehead dill reduce dracula dust say sound well book ask dill father be say get dead  dead get dill blush tell hush sure sign dill study find acceptable summer pass routine contentment routine contentment improve treehouse rest giant twin tree yard fussing run list drama base work matter lucky dill play character part thrust ape rover come know dill pocket head teem eccentric plan strange longing quaint fancy end repertoire vapid countless reproduction dill give idea make boo come fascinated dill spite warning explanation draw moon draw water draw near light pole corner safe distance gate stand arm fat pole stare wonder place jut sharp curve house walk south face porch sidewalk turn run lot house low white deep porch green shutter long ago darken color slate gray yard rain rot shingle droop eave veranda oak tree keep sun away remain picket drunkenly guard swept yard sweep rabbit tobacco grow abundance inside house live malevolent phantom people say exist see people say go night moon peep window people azalea freeze cold snap breathe stealthy small crime commit work town terrorize series morbid nocturnal event people chicken household pet find mutilate culprit crazy eventually drown eddy people look place unwilling discard initial suspicion negro pass place night cut sidewalk opposite whistle walk school ground adjoin lot tall pecan tree shake fruit schoolyard nut lie untouched child kill baseball hit lost ball question ask misery house begin year bear radley welcome town keep predilection unforgivable church principal recreation worship home seldom cross street mid morning coffee break neighbor certainly join missionary circle walk town morning come promptly carry brown paper bag neighborhood assume contain family grocery know old jem say buy cotton polite term wife live son long anybody remember shutter door close sunday thing alien way closed door mean illness cold weather day day formal afternoon visit lady wear corset man wear coat child wear shoe climb step afternoon neighbor screen door ask say yes bear accord neighborhood legend young boy teen acquaint old enormous confusing tribe domicile northern county form near thing gang see little discuss town publicly warn pulpit hang barbershop ride bus sunday go picture attend dance county riverside gambling dew drop fishing camp experiment whiskey nerve tell boy wrong crowd night excessive spurt high spirit boy back square borrow resist arrest ancient lock courthouse outhouse town decide say know bind determine away boy come probate judge charge disorderly conduct disturb peace assault battery abusive profane language presence hearing female judge ask include charge say cuss loud sure lady hear judge decide send boy state industrial school boy send reason provide food decent shelter prison disgrace think judge release give trouble know word bond judge glad,Funny
Howard Zinn,Chapter 11: Robber Barons And Rebels,civil war steam electricity replace human muscle iron replace wood steel replace iron process iron harden steel rate ton day process minute machine drive steel tool oil lubricate machine light home street factory people good railroad propel steam steel rail mile railroad telephone typewriter add machine speed work business machine change farming civil war take hour labor produce acre wheat take hour minute manufacture ice enable transport food long distance industry meatpacking bear steam drive textile mill spindle drive sewing machine come coal pneumatic drill drill deeply earth coal ton coal mine ton coal mean steel coal furnace convert iron steel ton steel produce ton electricity begin replace steam electrical wire need copper ton produce ton accomplish require ingenious inventor new process new machine clever organizer administrator new corporation country rich land mineral huge supply human being break unhealthful dangerous work immigrant come new labor force farmer unable buy new machinery pay new railroad rate city grow case inventor organizer business like inventor electrical device case businessman compile people invention like butcher ice cool railway car cool warehouse national meatpacking company new cigarette roll machine roll paste cut tube tobacco cigarette day combine big cigarette producer form american tobacco company multimillionaire start poverty study origin textile railroad steel executive 1870s show percent come upper class family story rag rich true man myth useful myth control fortune building legally collaboration government court collaboration pay promise politician return favorable legislation draw spend bribe legislature legalize issue water stock stock represent real value railroad transcontinental railroad build blood sweat politic thievery meeting union central pacific railroad central start coast go spend bribe acre free land bond pay overpayment construction company construction irish period year work dollar day union start go give acre free land government bond create credit mobilier company give construction actual cost share sell cheaply congressman prevent investigation suggestion shovel manufacturer director credit mobilier say difficulty get man look property union worker war veteran irish immigrant lay mile track day die hundred heat cold battle oppose invasion territory railroad long twist route subsidy town go amid music speech crooked line meet wild fraud railroad lead control railroad finance banker want stability profit law theft 1890 country railway mileage concentrate huge system completely partially control company start war son banker begin sell stock railroad good commission civil war buy rifle army arsenal sell general field rifle defective shoot thumb soldier congressional committee note small print obscure report federal judge uphold deal fulfillment valid legal contract escape military service civil war pay substitute father write man patriot risk life sacrifice health plenty life valuable firm company give government contract float bond issue government sell bond directly choose pay banker commission report circular marked private confidential issue banking house company brown brother company company painstaking care exercise document find way press public fear circular invitation great railroad magnate assemble house form phrase day iron clothe combination compact efface competition certain railroad unite interest agreement people bleed effectively human cost exciting story financial ingenuity year record show railroad worker kill injure gold reserve deplete bank gold vault syndicate banker head bank offer government gold exchange bond agree banker immediately resold bond high price make profit journalist write man want buy beef butcher want gold big banker make fortune bring rationality organization national economy keep system stable say want financial convulsion thing day thing day link railroad bank bank insurance company control mile railroad half country mileage insurance company dominate dollar asset year invest money give ordinary people insurance policy describe book people money write control people people money start bookkeeper merchant accumulate money decide new industry oil control oil refinery control industry buy oil refinery set standard oil company secret agreement railroad ship oil give discount price drive competitor business independent refiner say sell crush buyer market sell term memo like pass standard oil official receive car oil turn screw rival refinery rock small explosion arrange standard oil official refinery chief mechanic standard oil company hold company control stock company capital profit year fortune estimate long iron copper coal shipping banking profit year fortune total dollar telegraph clerk secretary head railroad broker selling railroad bond huge commission soon millionaire go see new method produce steel return build dollar steel plant foreign competition keep high tariff conveniently set produce ton steel month make year profit make year year dinner party agree sell steel company scribble price note form corporation combine corporation sell stock bond combined worth company take fee arrange consolidation dividend pay stockholder bondholder make sure pass tariff keep foreign steel close competition maintain price ton work man hour day wage barely keep family alive go industry industry shrewd efficient businessman build empire choke competition maintain high price keep wage low government subsidy industry beneficiary welfare state turn century american telephone telegraph monopoly nation telephone system international harvester percent farm machinery industry resource concentrated control bank interest monopoly create interlock network powerful corporation director sit board corporation accord report early century peak sit board corporation corporation government behave exactly describe capitalist state pretend neutrality maintain order serve interest rich rich agree dispute policy purpose state settle upper class dispute peacefully control low class rebellion adopt policy long range stability system arrangement elect set tone win national policy change important way run president general impression country oppose power monopoly corporation republican party candidate stand wealthy defeat wire feel vast business interest country entirely safe hand right chief adviser millionaire corporation lawyer marry standard oil fortune appoint secretary navy immediately set create steel navy buy steel artificially high price plant assure industrialist election frighten harm shall come business interest result administrative policy long president transfer executive control party mean disturbance exist condition presidential election avoid real issue clear understanding interest gain lose certain policy adopt take usual form election campaign conceal basic similarity party dwell personality gossip triviality astute literary commentator era write friend election plunge politic funnier word express great issue involve amusing thing talk real interest common consent agree let afraid discuss instead press engage amusing dispute illegitimate child live mistress huge surplus veto bill appropriate relief farmer help buy seed grain drought say federal aid case encourage expectation paternal care government weaken sturdiness national character year gold surplus pay wealthy bondholder value bond gift chief reform administration give away secret reform legislation suppose regulate railroad behalf consumer lawyer railroad soon attorney general tell railroad official complain wise abolish commission railroad point view explain commission great use railroad satisfy popular clamor government supervision railroad time supervision entirely nominal wisdom destroy commission utilize state union message similar point add warning opportunity safe careful deliberate reform offer unmindful time abused irritated people insist radical sweeping rectification wrong succeed president describe colorful study post civil war year politico exclusive distinction having serve railway corporation dual capacity lawyer soldier prosecute striker federal court organize command company soldier strike term see gesture reform anti trust act pass call act protect trade commerce unlawful restraint illegal form combination conspiracy restrain trade interstate foreign commerce author act explain need conciliate critic monopoly monopoly old giant day heed appeal ready socialist communist nihilist society disturb force feel elect president receive letter manager steel plant sorry interest go affect way change administration face agitation country cause panic depression troop break army demonstration unemployed man come break national strike railroad following year despite look somber black robed fairness bit rule elite independent member choose president ratify neutral rich poor member wealthy lawyer come upper class early century court lay legal basis nationally regulate economy establish federal control interstate commerce legal basis corporate capitalism make contract sacred court interpret harmless say monopoly sugar refining monopoly manufacturing commerce regulate v. court say interstate strike railway strike restraint trade declare unconstitutional small attempt tax high income high rate pollock v. farmer company later year refuse break standard oil american tobacco monopoly say bar unreasonable combination restraint trade banker toast gentleman guardian dollar defender private property enemy spoliation sheet anchor republic soon amendment law begin demolish protection black develop protection corporation court decision v. approve state law regulate price charge farmer use grain elevator grain elevator company argue person deprive property violate amendment declaration shall state deprive person life liberty property process law disagree say grain elevator simply private property invest public interest regulate year decision organize lawyer accustom serve wealthy begin national campaign education reverse court decision president say different time trust defensive weapon property interest communistic trend desirable monopoly necessity advantage succeed state legislature pressure arouse farmer pass law regulate rate charge farmer railroad year v. say state intrusion federal power year court away state law pass regulate corporation time accept argument corporation person money property protect process clause amendment supposedly amendment pass protect right amendment case bring deal negro deal corporation justice simply interpreter constitution man certain background certain interest say vain contend judge bar advocate year railroad company form associate capital address say unvarye law wealth community hand great majority man unwilling endure long self denial saving make accumulation possible human nature remodel true wealth nation hand subsist proceed daily toil whim 1880 1890 go found father learn law era commentary say great regard law private property authorize violation common good community control modern time require force law require population dangerously concentrate city factory life fill cause rebellion teach right school church popular literature teach rich sign superiority poor sign personal failure way upward poor person climb rank rich extraordinary effort extraordinary luck,Funny
